Valid	Winds	Gusts**	Direction	Temp	Humidity
08/29 02:00pm PDT	4 mph	8 mph	NNW	87°F	40%
08/29 01:50pm PDT	3 mph	6 mph	NNW	87°F	38%
08/29 01:40pm PDT	5 mph	9 mph	NNE	88°F	35%
08/29 01:30pm PDT	6 mph	12 mph	NNE	90°F	30%
08/29 01:20pm PDT	7 mph	11 mph	NNW	93°F	33%
08/29 01:10pm PDT	5 mph	11 mph	WNW	93°F	33%
08/29 01:00pm PDT	3 mph	8 mph	NW	92°F	35%
08/29 12:50pm PDT	4 mph	7 mph	W	89°F	37%
08/29 12:40pm PDT	4 mph	7 mph	N	87°F	38%
08/29 12:30pm PDT	3 mph	6 mph	W	87°F	40%
08/29 12:20pm PDT	2 mph	6 mph	NW	86°F	42%
08/29 12:10pm PDT	2 mph	4 mph	NNW	86°F	41%
08/29 12:00pm PDT	3 mph	5 mph	NW	86°F	40%
08/29 11:50am PDT	2 mph	5 mph	WNW	87°F	39%
08/29 11:40am PDT	4 mph	6 mph	WNW	87°F	40%
08/29 11:30am PDT	3 mph	6 mph	WNW	87°F	39%
08/29 11:20am PDT	3 mph	5 mph	W	87°F	38%
08/29 11:10am PDT	3 mph	5 mph	W	87°F	36%
08/29 11:00am PDT	3 mph	6 mph	W	88°F	33%
08/29 10:50am PDT	3 mph	7 mph	WNW	90°F	31%
08/29 10:40am PDT	2 mph	6 mph	N	91°F	27%
08/29 10:30am PDT	3 mph	7 mph	WNW	90°F	27%
08/29 10:20am PDT	3 mph	5 mph	WNW	90°F	30%
08/29 10:10am PDT	2 mph	4 mph	WNW	88°F	32%
08/29 10:00am PDT	2 mph	5 mph	WNW	88°F	32%
08/29 09:50am PDT	3 mph	5 mph	ENE	88°F	32%
08/29 09:40am PDT	2 mph	6 mph	E	89°F	30%
08/29 09:30am PDT	1 mph	3 mph	SW	89°F	30%
08/29 09:20am PDT	2 mph	5 mph	WNW	89°F	30%
08/29 09:10am PDT	2 mph	4 mph	NNE	89°F	29%
08/29 09:00am PDT	1 mph	3 mph	WSW	88°F	30%
08/29 08:50am PDT	4 mph	8 mph	ENE	86°F	31%
08/29 08:40am PDT	2 mph	7 mph	ENE	88°F	30%
08/29 08:30am PDT	2 mph	4 mph	ENE	88°F	30%
08/29 08:20am PDT	3 mph	5 mph	ESE	87°F	31%
08/29 08:10am PDT	4 mph	8 mph	SSE	86°F	31%
08/29 08:00am PDT	2 mph	7 mph	SSE	86°F	28%
08/29 07:50am PDT	1 mph	2 mph	WSW	85°F	25%
08/29 07:40am PDT	0 mph	1 mph	W	85°F	23%
08/29 07:30am PDT	0 mph	1 mph	W	84°F	26%
08/29 07:20am PDT	1 mph	2 mph	SE	83°F	31%
08/29 07:10am PDT	2 mph	2 mph	SSE	82°F	35%
08/29 07:00am PDT	0 mph	2 mph	SSE	81°F	35%
08/29 06:50am PDT	0 mph	1 mph	WSW	82°F	35%
08/29 06:40am PDT	1 mph	2 mph	W	82°F	35%
08/29 06:30am PDT	1 mph	2 mph	WSW	81°F	36%
08/29 06:20am PDT	2 mph	2 mph	W	81°F	36%
08/29 06:10am PDT	1 mph	3 mph	W	82°F	34%
08/29 06:00am PDT	2 mph	3 mph	ENE	82°F	32%
08/29 05:50am PDT	1 mph	2 mph	NW	83°F	32%
08/29 05:40am PDT	1 mph	2 mph	NW	84°F	31%
08/29 05:30am PDT	1 mph	2 mph	ESE	83°F	31%
08/29 05:20am PDT	2 mph	3 mph	E	82°F	33%
08/29 05:10am PDT	2 mph	3 mph	ENE	81°F	35%
08/29 05:00am PDT	2 mph	3 mph	E	81°F	35%
08/29 04:50am PDT	2 mph	3 mph	ESE	81°F	36%
08/29 04:40am PDT	2 mph	3 mph	E	80°F	37%
08/29 04:30am PDT	3 mph	4 mph	E	80°F	38%
08/29 04:20am PDT	1 mph	2 mph	ESE	81°F	39%
08/29 04:10am PDT	2 mph	3 mph	E	81°F	35%
08/29 04:00am PDT	0 mph	1 mph	SE	81°F	35%
08/29 03:50am PDT	0 mph	1 mph	SSE	81°F	36%
08/29 03:40am PDT	1 mph	3 mph	SSE	82°F	33%
08/29 03:30am PDT	0 mph	2 mph	NNE	81°F	33%
08/29 03:20am PDT	3 mph	5 mph	S	82°F	32%
08/29 03:10am PDT	5 mph	7 mph	SSE	82°F	32%
08/29 03:00am PDT	6 mph	8 mph	SSE	81°F	33%
08/29 02:50am PDT	3 mph	7 mph	S	82°F	32%
08/29 02:40am PDT	2 mph	4 mph	SSE	83°F	32%
08/29 02:30am PDT	4 mph	7 mph	S	82°F	33%
08/29 02:20am PDT	5 mph	7 mph	SSE	81°F	35%
08/29 02:10am PDT	5 mph	8 mph	SSE	81°F	35%
08/29 02:00am PDT	4 mph	7 mph	SSE	80°F	42%
08/29 01:50am PDT	2 mph	4 mph	ESE	80°F	43%
08/29 01:40am PDT	1 mph	1 mph	NE	80°F	43%
08/29 01:30am PDT	0 mph	1 mph	NE	81°F	43%
08/29 01:20am PDT	0 mph	1 mph	WNW	81°F	42%
08/29 01:10am PDT	1 mph	2 mph	NW	82°F	40%
08/29 01:00am PDT	0 mph	1 mph	NE	83°F	38%
08/29 12:50am PDT	2 mph	2 mph	N	84°F	37%
08/29 12:40am PDT	0 mph	1 mph	NNE	83°F	37%
08/29 12:30am PDT	1 mph	2 mph	N	84°F	37%
08/29 12:20am PDT	0 mph	1 mph	NNW	84°F	35%
08/29 12:10am PDT	0 mph	1 mph	NE	84°F	35%
08/29 12:00am PDT	0 mph	1 mph	NE	84°F	36%
08/28 11:50pm PDT	0 mph	0 mph	NE	84°F	36%
08/28 11:40pm PDT	0 mph	0 mph	NNE	84°F	37%
08/28 11:30pm PDT	1 mph	2 mph	N	84°F	37%
08/28 11:20pm PDT	1 mph	1 mph	NNW	84°F	38%
08/28 11:10pm PDT	0 mph	1 mph	NW	84°F	39%
08/28 11:00pm PDT	1 mph	2 mph	NW	84°F	39%
08/28 10:50pm PDT	1 mph	2 mph	WNW	84°F	39%
08/28 10:40pm PDT	1 mph	2 mph	W	84°F	39%
08/28 10:30pm PDT	1 mph	1 mph	NNW	84°F	38%
08/28 10:20pm PDT	0 mph	1 mph	NNE	84°F	37%
08/28 10:10pm PDT	1 mph	1 mph	NNE	84°F	37%
08/28 10:00pm PDT	0 mph	1 mph	NNE	84°F	39%
08/28 09:50pm PDT	1 mph	2 mph	NNE	84°F	38%
08/28 09:40pm PDT	0 mph	1 mph	E	84°F	37%
08/28 09:30pm PDT	2 mph	3 mph	SE	83°F	40%
08/28 09:20pm PDT	1 mph	3 mph	SE	82°F	44%
08/28 09:10pm PDT	1 mph	1 mph	ESE	80°F	48%
08/28 09:00pm PDT	1 mph	2 mph	ESE	78°F	51%
08/28 08:50pm PDT	2 mph	2 mph	ENE	78°F	52%
08/28 08:40pm PDT	3 mph	4 mph	SE	76°F	57%
08/28 08:30pm PDT	3 mph	3 mph	ESE	73°F	63%
08/28 08:20pm PDT	3 mph	3 mph	ESE	72°F	64%
08/28 08:10pm PDT	2 mph	3 mph	E	72°F	64%
08/28 08:00pm PDT	2 mph	3 mph	ENE	73°F	63%
08/28 07:50pm PDT	2 mph	3 mph	ENE	73°F	63%
08/28 07:40pm PDT	2 mph	3 mph	ENE	73°F	62%
08/28 07:30pm PDT	2 mph	3 mph	NE	74°F	61%
08/28 07:20pm PDT	1 mph	2 mph	NNE	74°F	60%
08/28 07:10pm PDT	1 mph	2 mph	NNE	75°F	59%
08/28 07:00pm PDT	1 mph	2 mph	NE	76°F	57%
08/28 06:50pm PDT	1 mph	2 mph	NNW	76°F	57%
08/28 06:40pm PDT	1 mph	2 mph	NNE	77°F	56%
08/28 06:30pm PDT	2 mph	3 mph	NNE	77°F	55%
08/28 06:20pm PDT	2 mph	4 mph	NNE	79°F	52%
08/28 06:10pm PDT	3 mph	5 mph	NNW	80°F	50%
08/28 06:00pm PDT	2 mph	6 mph	W	80°F	50%
08/28 05:50pm PDT	3 mph	5 mph	NNW	81°F	49%
08/28 05:40pm PDT	4 mph	7 mph	WNW	81°F	49%
08/28 05:30pm PDT	2 mph	6 mph	W	82°F	47%
08/28 05:20pm PDT	3 mph	6 mph	WNW	83°F	46%
08/28 05:10pm PDT	3 mph	6 mph	WNW	83°F	46%
08/28 05:00pm PDT	3 mph	7 mph	NNW	83°F	47%
08/28 04:50pm PDT	3 mph	6 mph	NW	82°F	48%
08/28 04:40pm PDT	3 mph	5 mph	NW	82°F	48%
08/28 04:30pm PDT	4 mph	8 mph	NNW	82°F	49%
08/28 04:20pm PDT	4 mph	8 mph	NW	83°F	46%
08/28 04:10pm PDT	5 mph	9 mph	NW	84°F	45%
08/28 04:00pm PDT	5 mph	10 mph	WNW	84°F	45%
08/28 03:50pm PDT	5 mph	9 mph	NW	85°F	44%
08/28 03:40pm PDT	5 mph	10 mph	WNW	86°F	42%
08/28 03:30pm PDT	4 mph	8 mph	W	87°F	40%
08/28 03:20pm PDT	5 mph	11 mph	NW	89°F	38%
08/28 03:10pm PDT	6 mph	11 mph	W	90°F	36%
08/28 03:00pm PDT	4 mph	11 mph	NW	91°F	34%
08/28 02:50pm PDT	6 mph	11 mph	SW	90°F	35%
08/28 02:40pm PDT	5 mph	10 mph	SW	89°F	36%
08/28 02:30pm PDT	7 mph	13 mph	WSW	90°F	35%
08/28 02:20pm PDT	7 mph	12 mph	WNW	89°F	36%
08/28 02:10pm PDT	8 mph	13 mph	SW	90°F	35%
08/28 02:00pm PDT	8 mph	14 mph	SSW	91°F	34%
08/28 01:50pm PDT	8 mph	15 mph	SW	92°F	32%
08/28 01:40pm PDT	7 mph	13 mph	SSW	94°F	29%
08/28 01:30pm PDT	5 mph	11 mph	NW	97°F	23%
08/28 01:20pm PDT	4 mph	8 mph	SW	95°F	25%
08/28 01:10pm PDT	5 mph	11 mph	WSW	94°F	27%
08/28 01:00pm PDT	5 mph	11 mph	NW	95°F	26%
08/28 12:50pm PDT	5 mph	13 mph	WSW	94°F	26%
08/28 12:40pm PDT	5 mph	11 mph	SW	94°F	23%
08/28 12:30pm PDT	6 mph	13 mph	N	93°F	23%
08/28 12:20pm PDT	6 mph	11 mph	NNW	94°F	22%
08/28 12:10pm PDT	4 mph	9 mph	NW	94°F	25%
08/28 12:00pm PDT	6 mph	11 mph	NW	94°F	24%
08/28 11:50am PDT	5 mph	12 mph	WNW	96°F	21%
08/28 11:40am PDT	4 mph	11 mph	SW	95°F	19%
08/28 11:30am PDT	6 mph	10 mph	SW	94°F	17%
08/28 11:20am PDT	6 mph	12 mph	W	93°F	17%
08/28 11:10am PDT	7 mph	11 mph	SW	93°F	17%
08/28 11:00am PDT	8 mph	12 mph	SW	93°F	18%
08/28 10:50am PDT	7 mph	12 mph	SSW	93°F	18%
08/28 10:40am PDT	7 mph	12 mph	SW	94°F	16%
08/28 10:30am PDT	4 mph	9 mph	W	96°F	15%
08/28 10:20am PDT	5 mph	8 mph	NNW	95°F	16%
08/28 10:10am PDT	4 mph	8 mph	NNW	95°F	16%
08/28 10:00am PDT	3 mph	6 mph	NNW	95°F	15%
08/28 09:50am PDT	3 mph	5 mph	W	93°F	16%
08/28 09:40am PDT	4 mph	8 mph	WNW	93°F	15%
08/28 09:30am PDT	2 mph	6 mph	NW	93°F	15%
08/28 09:20am PDT	2 mph	5 mph	NNW	93°F	13%
08/28 09:10am PDT	2 mph	5 mph	E	92°F	14%
08/28 09:00am PDT	1 mph	4 mph	NNE	92°F	12%
08/28 08:50am PDT	1 mph	3 mph	WSW	92°F	10%
08/28 08:40am PDT	1 mph	2 mph	WSW	91°F	10%
08/28 08:30am PDT	1 mph	2 mph	W	90°F	9%
08/28 08:20am PDT	2 mph	2 mph	W	89°F	8%
08/28 08:10am PDT	1 mph	3 mph	WSW	89°F	11%
08/28 08:00am PDT	0 mph	1 mph	E	90°F	11%
08/28 07:50am PDT	0 mph	2 mph	WNW	88°F	13%
08/28 07:40am PDT	0 mph	1 mph	SW	87°F	12%
08/28 07:30am PDT	0 mph	1 mph	WSW	87°F	13%
08/28 07:20am PDT	0 mph	1 mph	SSE	86°F	13%
08/28 07:10am PDT	1 mph	1 mph	E	86°F	14%
08/28 07:00am PDT	1 mph	1 mph	SE	85°F	14%
08/28 06:50am PDT	1 mph	2 mph	SSE	84°F	14%
08/28 06:40am PDT	0 mph	0 mph	N	83°F	15%
08/28 06:30am PDT	0 mph	0 mph	ESE	83°F	15%
08/28 06:20am PDT	0 mph	0 mph	ESE	83°F	16%
08/28 06:10am PDT	0 mph	0 mph	NW	83°F	16%
08/28 06:00am PDT	0 mph	0 mph	W	83°F	16%
08/28 05:50am PDT	0 mph	1 mph	WSW	83°F	16%
08/28 05:40am PDT	1 mph	2 mph	S	83°F	16%
08/28 05:30am PDT	2 mph	2 mph	SSE	83°F	20%
08/28 05:20am PDT	1 mph	1 mph	NE	84°F	19%
08/28 05:10am PDT	0 mph	0 mph	WSW	83°F	19%
08/28 05:00am PDT	0 mph	0 mph	S	83°F	21%
08/28 04:50am PDT	1 mph	1 mph	SSE	84°F	22%
08/28 04:40am PDT	2 mph	2 mph	SSE	83°F	22%
08/28 04:30am PDT	1 mph	2 mph	SSE	83°F	24%
08/28 04:20am PDT	0 mph	1 mph	WNW	83°F	24%
08/28 04:10am PDT	1 mph	2 mph	ENE	84°F	23%
08/28 04:00am PDT	2 mph	2 mph	SE	84°F	23%
08/28 03:50am PDT	2 mph	3 mph	ESE	83°F	24%
08/28 03:40am PDT	1 mph	2 mph	ESE	83°F	24%
08/28 03:30am PDT	2 mph	2 mph	SE	82°F	24%
08/28 03:20am PDT	2 mph	4 mph	SE	82°F	24%
08/28 03:10am PDT	2 mph	4 mph	SSE	82°F	23%
08/28 03:00am PDT	2 mph	2 mph	SE	82°F	21%
08/28 02:50am PDT	1 mph	1 mph	ENE	81°F	22%
08/28 02:40am PDT	1 mph	2 mph	ENE	81°F	24%
08/28 02:30am PDT	1 mph	1 mph	E	82°F	24%
08/28 02:20am PDT	1 mph	1 mph	E	82°F	24%
08/28 02:10am PDT	0 mph	1 mph	ENE	82°F	24%
08/28 02:00am PDT	0 mph	1 mph	E	82°F	23%
08/28 01:50am PDT	1 mph	2 mph	SE	82°F	23%
08/28 01:40am PDT	1 mph	2 mph	ENE	81°F	25%
08/28 01:30am PDT	1 mph	3 mph	SSE	80°F	28%
08/28 01:20am PDT	1 mph	3 mph	SSE	81°F	28%
08/28 01:10am PDT	1 mph	2 mph	SSE	81°F	26%
08/28 01:00am PDT	2 mph	3 mph	ESE	81°F	25%
08/28 12:50am PDT	2 mph	3 mph	ESE	82°F	26%
08/28 12:40am PDT	2 mph	3 mph	SE	81°F	25%
08/28 12:30am PDT	2 mph	2 mph	E	81°F	25%
08/28 12:20am PDT	1 mph	2 mph	SSE	82°F	25%
08/28 12:10am PDT	1 mph	1 mph	E	82°F	25%
08/28 12:00am PDT	1 mph	1 mph	NE	82°F	25%
08/27 11:50pm PDT	0 mph	2 mph	SSW	82°F	26%
08/27 11:40pm PDT	2 mph	3 mph	SW	83°F	25%
08/27 11:30pm PDT	1 mph	3 mph	SW	82°F	26%
08/27 11:20pm PDT	1 mph	3 mph	S	82°F	27%
08/27 11:10pm PDT	1 mph	2 mph	S	83°F	26%
